Language Name,GPS N,GPS E,ISO,Stage,Work Location,Partners,US BPPP Partners?,Cross-Border,Prefecture,Scripture Access Plan,No. of Speakers,Lg. Family,"""Branche""",Related To,LSP Trans. Need,EGIDS,Survey,Anthro,Dialect Research,Word List,Interlin. Texts,Précis d'ortho.,ILA approuvé?,Phonology,Gramm.,Dico.,Disc.,Trans. Lit.,Basic Lit.,JESUS Film,Trauma Healing,% OT/NT drafted,Scripture Pub.,Scripture Recorded,DBL?,Team Start,SIL Contact,Coordinator,Coord. Ed.,Team Member 2,Team Member 2 Ed.,Team Member 3,Team Member 3 Ed.,Team Member 4,Team Member 4 Ed.,Lg. Location,Notes,Needs,,
Beka/Yaka/Aka,3.057088,16.381428,axk,Ongoing elsewhere (Cameroon),"Bangui, CAR","independent, SIL",,CAR/Congo,,,30,"Bantu, C",Ngbaka,"None. It appears to be a ""mixed language"" coming from 2 language parents, not one (Bantu and proto-Aka). (Duke, 2001)",NA (in progress),,"Duke, 2001 (MA Thesis), Kosseke and Sitamon 1993, Moehama 1994, Duke 1995, Bister 1995",,,,1 in Duke Thesis,,Approved. Sitamon (unpublished??),"Kosseke & Sitamon, 1998 (unpublished??); Roberts, 1993","Thomas 1991; Duke, Kosseke & Sitamon, 1998",,2009,,,2012,Bangui Tr. Cluster Beta,1/31%,portions,GRN,,April 1992,Dan Duke (25 items in REAP for axk),François Ndinga,,,,,,,,"swCAR, Londo, forest along Congo border","Different from Baka [bkc], which is Ubangi. (Eth.) As of Aug 2016, finished 1st draft of John, Mark and the first 5 chapters of Matthew, and Haggai and submitted to Ndinga for review. (personal comm. w/Dominique)",,,
Ngbaka-Manza,5.301087,18.646656,ngg,pre-project,CAR,"ACATBA, Seed Co., SIL",Yes,no,,[nga] lead [ngg] et [aiy]?,29,"Ubangi, Gbaya",Gbaya,"Esp. Ngbaka [nga] (Bible, 1995, DRC). Also Ali [aiy], Bofi [bff], and probably Mandja [mzv]. Survey also cited Gbanu [gbv] as closely related.",unlikely per survey,6a (Vigorous),"Bluhberger, 1994, ""Unlikely translation need"". See also Survey ""Minage"".",,survey,Sept 2018?,N,,N,N,N,N,N,N,N,N,Bangui Tr. Cluster Alpha (June 2014?),portions,,,,,John Berthelette,,,,,,,,,,"""Il semble que les Ngbaka Manza accepteraient d'utiliser les Ecritures en ngbaka minagende. Pour déterminer si la traduction pourrait être comprise, il faudra envisager des tests de compréhension d'Ecritures."" (Bluhberger, 1994). Survey (1993) cites high degree of bilingualism in Sango.",,,
Ngbaka Ma'bo,3.998176,18.372513,nbm,pre-project,CAR,"ACATBA, Seed Co., SIL",NO,CAR/DRC/Congo,,,88000,"Ubangi, Ngbaka",Ngbaka,Gilima [gix] of DRC,unlikely per survey,5 (Developing),"Duke, 1996, ""Unlikely translation need""",,survey,N,N,,N,N,N,N,N,N,N,N,Bangui Tr. Cluster Alpha (June 2014?),portions,,,,,,,,,,,,,,,,,,
Mbati,3.905403,17.714534,mdn,pre-project,CAR,"ACATBA, Seed Co., SIL",Yes,no,,,60,"Bantu, C",Ngbaka,Ngando [ngd],unlikely per survey,6a (Vigorous),"Bister, 1995 and 2011 ""Unlikely translation need""/""Deuxième priorité"" due to bilingualism in Sango",,survey (1995),N,N,,N,N,N,N,N,N,N,N,Bangui Tr. Cluster Alpha (June 2014?), ,,,,,,,,,,,,,,,,,,
Ngando,3.709320,17.716288,ngd,pre-project,"Bangui, CAR","ACATBA, SIL",,Congo-Brazza?,,,5,"Bantu, C",Ngbaka,"Yaka [axk], Mbati [mdn], Issongo [mdn??]",,,none,,none,"Y, (2017, REAP)",9,,N,N,N,N,N,N,N,N,Bangui Tr. Cluster Alpha (June 2014?),portions,,,,2013? (suspended),John Berthelette,Rufin TASSANGO,"FATEB, incomplete",,,,,,,Bagandou,,,,
Yakoma,4.145783,22.428037,yky,pre-project,CAR,"ACATBA, SIL",,CAR/DRC,,Adapt the Sango or [ngb] Bible?,110,"Ubangi, Ngbandi",Ngbandi,"Ngbandi-Ngiri?, Ngbandi-Nord?, Use Sango. ""High intelligibility of Ngbandi [Nord] [ngb] and Sango [sag]."" (Eth.)",,,"Duke, 1996 ""unlikely translation need""; Also used Participatory Methods (see email via P. Humber, Jan 29, 2013)",,,"Y, (2017, REAP)",N,,N,N,N,N,N,N,N,In progress (2017),Bangui Tr. Cluster Alpha (June 2014?),portions,,,,,John Berthelette,,,,,,,,,,Eth. says  High intelligibility of Ngbandi [ngb] and Sango [sag] (2014).,,,
Gbanu,5.498218,17.323145,gbv,pre-project,"Bangui, CAR","ACATBA, Seed Co., SIL",Yes,no,,,95,"Ubangi, Gbaya-Manza-Ngbaka",Gbaya,"Bhogoto, Gbeya [gbp] and Gbaya-Bozoum [gbq]. Survey in Ngbaka-Manza [ngg] cited Gbanu as a close relation.",likely per Kieschke survey,5 (Developing),"Kieschke, 1994, (Likely translation need); Moehama, 1994, (Unlikely translation needed); Speakers asking (per Elvis)",,None,"Y, (2017, REAP)",N,,"""Latin script no longer in use."" (Eth.)",N,N,N,N,N,N,N,Bangui Tr. Cluster Beta,portions,"Portions (1932-39), Catechisme (1940s), Recueil de cantiques (1964)",,,,John Berthelette,,,,,,,,,,Two surveys with similar data but differing recommendations for BT!,,,
Yakpa/Banda Mid-Southern,5.168568,21.168539,bjo,pre-project,"Bangui, CAR","ACATBA, Seed Co., SIL",Yes,No,,,102,"Ubangi, Banda, Central Core, Mid-Southern",Banda,"Mutually intelligible with Mono (NT forthcoming) (Olson, 9/24/17). ...Community willing to use Linda [liy] materials (Moehama, 1994). Reportedly most similar to Gubu [gox] of DRC, but speakers have better relations with Mbandja [zmz].",unlikely per survey,6a (Vigorous),"Moehama, 1994 ""Yakpa"", ""Unlikely translation need""",,survey,N (planned for FY19),N,,N,N,N,N,N,N,N,N,Bangui Tr. Cluster Beta,portions,,,,,,,,,,,,,,,,,,
Ali,4.546583,18.054287,aiy,pre-project,"Bangui, CAR","ACATBA, Seed Co., SIL",Yes,No,,[nga] lead [ngg] et [aiy]?,35,"Ubangi, Gbaya-Manza-Ngbaka",Gbaya,"Bofi [bff], Mandja [mzv], Ngbaka [nga] (Bible, 1995), Ngbaka Manza [ngg]. High comprehension of Sango.",unlikely per survey,6a (Vigorous),"Probst, 1994, ""unlikely translation need""",,survey,Sept 2018?,N,,N,N,N,N,N,N,N,N,Bangui Tr. Cluster Beta,portions,,,,,John Berthelette,,,,,,,,,,,,,
Kare,6.763115,16.212727,kbn,pre-project,"Bozoum, CAR","ACATBA, Seed Co., SIL",NO,No,,"Adapt le Karang? Kare guide les Tale, Pana, Mbum?",97460,Eastern Mbum,Mbum,"Tale, Karang (CMB, NT very soon (2018?)), etc.","Likely need (NT, 1947, BS of Cameroon but cannot be found, or was it published by MEF??)",5 (Developing),None in CAR,,,,,,N,N,N,N,N,N,N,N,Bozoum Tr. Cluster (FY18),,"NT (1947, BS of Cameroon)",,,,Bob Ulfers,,,,,,,,,,See Bob's email 10/11/17 for more related lgs. info!,,,
Tale,,,kbn,pre-project,"Bozoum, CAR","ACATBA, Seed Co., SIL",NO,No,,"Adapt le Karang? Kare guide les Tale, Pana, Mbum?",See Kare.,Eastern Mbum,Mbum,"Kare (but do not accept to be called Kare), Mbum (of CAR), Karang (CMB, NT very soon 2018?)), etc.",Likely need (See Kare),,None. See Kare.,,,,,Y?,N,Y?,N,N,N,N,N,N,Bozoum Tr. Cluster (FY18),,,,,,,,,,,,,,,,,,,
Suma,7.053108,16.991697,sqm,pre-project,"Bozoum, CAR","ACATBA, Seed Co., SIL",Yes,no,,(Adapt from) [gbp]? (per Survey),50,"Ubangi, Gbaya-Manza-Ngbaka",Gbaya,May be intelligible with Gbaya-Bossangoa [gbp]. A member of macrolanguage Gbaya [gba].,unlikely per survey,6a (Vigorous),"Stalder, 1994, ""unlikely translation need"". (Ref. Bluhberger, Gbaya de Bossangoa (1994))",,,,,,N,N,N,N,N,N,N,N,Bozoum Tr. Cluster (FY18),,,,,,,,,,,,,,,,Survey on [gbp] thinks Suma and Gbaya-Bozoum [gbq] could use Gbeya [gbp] materials.,,,
Gbaya-Bozoum,6.048583,16.622143,gbq,pre-project,"Bozoum, CAR","ACATBA, Seed Co., SIL",Yes,No,,(Adapt from) [gbp]? (per Survey),32500,"Ubangi, Gbaya",Gbaya,"Ngbaka manza, Gbanu, Bhogoto",unlikely per survey,6a (Vigorous),"Probst, 1994, ""unlikely translation need"". See also survey of ""Diabe"".",,,,,,N,N,N,N,N,N,N,N,Bozoum Tr. Cluster (FY18),,,,,,,,,,,,,,,,Gbaya-Bozoum (and Suma) needs should (be able to) be sourced by Gbeya [gbp] products per [gbp] survey.,,,
Pana,7.299818,15.791569,pnz,pre-project,"Bozoum, CAR","ACATBA, Seed Co., SIL (CABTAL)",,CAR/Cameroon,,"ASK CABTAL. Adapt le Karang? Kare guide les Tale, Pana, Mbum?",82,Eastern Mbum,Mbum,Betina says the Karang is between Pana and Kare,,,none in CAR,,,,,,N,N,N,N,N,N,N,N,Bozoum Tr. Cluster (FY18),,,,,,,,,,,,,,,,The hub is in Cameroon so this lg. has not been part of my research. CABTAL is doing MAST with Pana in CMB (2017).,,,
Mbum,7.345168,15.405362,mdd?,pre-project,"Bozoum, CAR","ACATBA, Seed Co., SIL",,Cameroon/CAR,,"CHERCHER LE NT DU CMB.Adapt le Karang? Kare guide les Tale, Pana, Mbum?",0,Eastern Mbum,Mbum,"Karang, Pana, Tale (per Betina)",,,none in CAR,,,,,,,,Y,Y,,,,N,Bozoum Tr. Cluster (FY18),,NT 1965,,,,,,,,,,,,,,The hub is in Cameroon so this lg. has not been part of my research. (2017),,,
Langba,,,(lna),unengaged,,,,no,,,0,"Ubangi, Banda, South central",Banda,Langbashi [lna],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togbo-Vara,6.504163,22.4347770,tor,unengaged,,,,DRC/CAR/South Sudan,,,24,"Ubangi, Banda, Central Core, Togbo-Vara",Banda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limassa,0,0,bme,unengaged,,,NO,??,,,0,"Ngbaka, Western, Baka-Gundi",Ngbaka,??,"""Adequate/No Need"". (Eth. note conflicts w/EGIDS)",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birri,0,0,bvq,unengaged,,,NO,??,,,200,"Ubangi, Zande",Zande,Also use Zande [zne].,"""Adequate/No Need""/Lg. Death",7 (shifting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geme,8.503025,20.761846,geq,unengaged,,,NO,No,,,550,"Ubangi, Zande",Zande,xxx,"""Adequate/No Need""/Lg. Death",6b (Threatened),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodo,0,0,boy,unengaged,,,NO,,,,15,"Bantu, D",Ngbaka,??,"""Adequate/No Need""/Nearly Extinct",8b (Nearly Extinct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendi,4.492016,22.500496,deq,unengaged,,,NO,No,,,10000,"Ubangi, Ngbandi",Ngbandi,"""High intelligibility of Yakoma [yky]. Ngbandi [ngb] and Mbangi [mgn] may be inherently intelligible of Dendi."" (Eth.) High comprehension of Sango. (Buchanan) EM: May be clustered with Yakoma [yky] (TH group in CAR) and/or Ngbandi-Nord [nga] (DRC).","""Unlikely need""",6a (Vigorous),"Buchanan, 1996. Buchanan, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sango Riverain,4.348460,21.219957,snj,unengaged,,,NO,No,,,34000,"Creole, Ngbandi based",Ngbandi,Sango,"""Unlikely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda-Ndélé,7.924985,21.633978,bfl,unengaged,,,Y,South Sudan,,Adapt from Banda-Linda?,35500,"Ubangi, Banda, Central Core, Banda-Ndélé",Banda,Banda-Linda [liy],"""Definite need""",6a (Vigorous),"Bluhberger, 1995, ""première priorité""",,,,,,,,,,,,,,,,,,,,"Paul says he has some ""basic writeups"", I think from the work done in Sudan.",,,,,,,,,,"""Dans le cas où un projet sera établi en banda linda, il faut considérer de faire une adaptation CARLA en banda ndele et d'inclure une équipe dans le multi-projet."" (Bluhberger, 1995)",,,
Banda West Central,6.080617,19.681236,bbp,unengaged,,,Y,South Sudan,,,7500,"Ubangi, Banda, West Central",Banda,None,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda-Mbrès,6.663283,20.265184,bqk,unengaged,,,Y,South Sudan,,,42500,"Ubangi, Banda, Central Core",Banda,Banda-Linda [liy],"""Likely need""",6a (Vigorous),"Bluhberger, 1995, ""probable need""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It is suggested that Banda-Linda is intelligble to all Banda Central dialects which might explain the ""Unlikely need"" classification. Again, the reasons for this conclusion are not cited. (Paul Murrell, Nov 2016)",,,
Buraka,4.465051,20.718440,bkg,unengaged,,,Y,No,,,3800,"Ubangi, Ngbaka",Gbanziri,"None. ""May not be inherently intelligible with Gbanziri [gbg].""","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygmy,,,
Ganzi,0,0,gnz,unengaged,,,Y,No,,,1400,"Ubangi, Ngbaka",Ngbaka,May be intelligible with Baka [bkc].,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygmy,,,
Gbanziri,4.808937,20.282096,gbg,unengaged,,,Y,DRC,,,17500,"Ubangi, Ngbaka",Gbanziri,None,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygmy. Dictionary reportedly available.,,,
Gbayi,5.602246,21.984763,gyg,unengaged,,,Y,No,,,5000,"Ubangi, Ngbandi",Ngbandi,"Related to Ngbandi [ngb]. Ethnically Kpatili, but not intelligible with Kpatili [kym].","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At risk of being replaced by Banda (Dimmendaal and Voeltz 2007). (This statement conflicts with EGIDS level.),,,
Gula,9.874228,22.098460,kcm,unengaged,,,Y,Sudan,,,13200,"Central Sudanic, Kara",Sara Valé,None,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gundi,3.726394,15.636168,gdi,unengaged,,,Y,No,,,9000,"Ubangi, Ngbaka",Ngbaka,"None. May be intelligible with Baka [bkc], Pande [bkj], and Lingala [lin].","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygmy, Distinct from Ngundi [ndn] of Congo and CAR which is Bantu.,,
Kara,9.862448,22.984730,kah,unengaged,,,Y,No,,,4800,UNCLASSIFIED,Gbanziri,(DIFF from Kara [glu] of South Sudan),"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kpagua,5.005775,20.230230,kuw,unengaged,,,Y,No,,,3830,"Ubangi, Banda, Central Core, Mid-Southern",Banda,"Mono [mnh] (Olson, email 9/24/17)! ...Reportedly most similar to Ngundu [nue].","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kpatili,5.111956,21.993001,kym,unengaged,,,Y,No,,,4500,"Ubangi, Zande",Zande,"Not intelligible with Gbayi [gyg], who are ethnically Kpatili. Also use Nzakara (Eth.)","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langbashe,5.279518,19.881204,lna,unengaged,,,Y,DRC,,,43000,"Ubangi, Banda, South central",Banda,May be intelligible with South Central Banda [lnl].,"""Likely need""",6a (Vigorous),Speakers asking (per Elvis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
